Metric,Unit,Scenario_0,Scenario_1,Scenario_2,Scenario_3,Scenario_4,Scenario_5,Scenario_6,Scenario_7,Scenario_8,Scenario_9,Scenario_10,Scenario_11,Scenario_12,Scenario_13,Scenario_14,Scenario_15,Scenario_16,Scenario_17,Scenario_18,Scenario_19,Scenario_20,Scenario_21,Scenario_22,Scenario_23,Scenario_24,Scenario_25,Scenario_26,Scenario_27,Scenario_28,Scenario_29,Scenario_30,Scenario_31,Scenario_32,Scenario_33,Scenario_34,Scenario_35,Scenario_36,Scenario_37,Scenario_38,Scenario_39,Scenario_40
  sbos_labor,$/kWdc,71.7670,71.7670,71.7670,71.7670,71.7670,71.7670,71.7670,71.7670,71.7670,71.7670,71.7670,71.7670,71.7670,71.7670,71.7670,71.7670,71.7670,71.7670,71.7670,71.7670,71.7670,71.7670,71.7670,71.7670,71.7670,71.7670,71.7670,71.7670,71.7670,71.7670,71.7670,71.7670,71.7670,71.7670,71.7670,71.7670,71.7670,71.7670,71.7670,71.7670,71.7670
  site_prep,$/kWdc,38.8350,38.8350,38.8350,38.8350,38.8350,38.8350,38.8350,38.8350,38.8350,38.8350,38.8350,38.8350,38.8350,38.8350,38.8350,38.8350,38.8350,38.8350,38.8350,38.8350,38.8350,38.8350,38.8350,38.8350,38.8350,38.8350,38.8350,38.8350,38.8350,38.8350,38.8350,38.8350,38.8350,38.8350,38.8350,38.8350,38.8350,38.8350,38.8350,38.8350,38.8350
  equipment_rental,$/kWdc,48.5437,48.5437,48.5437,48.5437,48.5437,48.5437,48.5437,48.5437,48.5437,48.5437,48.5437,48.5437,48.5437,48.5437,48.5437,48.5437,48.5437,48.5437,48.5437,48.5437,48.5437,48.5437,48.5437,48.5437,48.5437,48.5437,48.5437,48.5437,48.5437,48.5437,48.5437,48.5437,48.5437,48.5437,48.5437,48.5437,48.5437,48.5437,48.5437,48.5437,48.5437
  inspection,$/kWdc,7.7670,7.7670,7.7670,7.7670,7.7670,7.7670,7.7670,7.7670,7.7670,7.7670,7.7670,7.7670,7.7670,7.7670,7.7670,7.7670,7.7670,7.7670,7.7670,7.7670,7.7670,7.7670,7.7670,7.7670,7.7670,7.7670,7.7670,7.7670,7.7670,7.7670,7.7670,7.7670,7.7670,7.7670,7.7670,7.7670,7.7670,7.7670,7.7670,7.7670,7.7670
  ess_labor,$/kWdc,0.0000,13.7819,27.5638,55.1276,82.6915,27.5638,55.1276,110.2553,165.3829,41.3457,82.6915,165.3829,248.0744,55.1276,110.2553,220.5106,330.7659,68.9096,137.8191,275.6382,413.4574,82.6915,165.3829,330.7659,496.1488,96.4734,192.9468,385.8935,578.8403,110.2553,220.5106,441.0212,661.5318,124.0372,248.0744,496.1488,744.2233,137.8191,275.6382,551.2765,826.9147
officework,$/kWdc,32.6102,32.6102,32.6102,32.6102,32.6102,32.6102,32.6102,32.6102,32.6102,32.6102,32.6102,32.6102,32.6102,32.6102,32.6102,32.6102,32.6102,32.6102,32.6102,32.6102,32.6102,32.6102,32.6102,32.6102,32.6102,32.6102,32.6102,32.6102,32.6102,32.6102,32.6102,32.6102,32.6102,32.6102,32.6102,32.6102,32.6102,32.6102,32.6102,32.6102,32.6102
  warehousing,$/kWdc,5.3398,5.3398,5.3398,5.3398,5.3398,5.3398,5.3398,5.3398,5.3398,5.3398,5.3398,5.3398,5.3398,5.3398,5.3398,5.3398,5.3398,5.3398,5.3398,5.3398,5.3398,5.3398,5.3398,5.3398,5.3398,5.3398,5.3398,5.3398,5.3398,5.3398,5.3398,5.3398,5.3398,5.3398,5.3398,5.3398,5.3398,5.3398,5.3398,5.3398,5.3398
  logistics,$/kWdc,5.5825,5.5825,5.5825,5.5825,5.5825,5.5825,5.5825,5.5825,5.5825,5.5825,5.5825,5.5825,5.5825,5.5825,5.5825,5.5825,5.5825,5.5825,5.5825,5.5825,5.5825,5.5825,5.5825,5.5825,5.5825,5.5825,5.5825,5.5825,5.5825,5.5825,5.5825,5.5825,5.5825,5.5825,5.5825,5.5825,5.5825,5.5825,5.5825,5.5825,5.5825
  engineering,$/kWdc,14.8154,14.8154,14.8154,14.8154,14.8154,14.8154,14.8154,14.8154,14.8154,14.8154,14.8154,14.8154,14.8154,14.8154,14.8154,14.8154,14.8154,14.8154,14.8154,14.8154,14.8154,14.8154,14.8154,14.8154,14.8154,14.8154,14.8154,14.8154,14.8154,14.8154,14.8154,14.8154,14.8154,14.8154,14.8154,14.8154,14.8154,14.8154,14.8154,14.8154,14.8154
  permits,$/kWdc,1.0091,1.0091,1.0091,1.0091,1.0091,1.0091,1.0091,1.0091,1.0091,1.0091,1.0091,1.0091,1.0091,1.0091,1.0091,1.0091,1.0091,1.0091,1.0091,1.0091,1.0091,1.0091,1.0091,1.0091,1.0091,1.0091,1.0091,1.0091,1.0091,1.0091,1.0091,1.0091,1.0091,1.0091,1.0091,1.0091,1.0091,1.0091,1.0091,1.0091,1.0091
